id,model_name,type,color,price,price_range,brand,version,name,engine_capacity,engine_type,transmission_type,features,image_url,source_url,source_pid,source_SkuId,source_name,status,create_at,source_id
1,,XE SỐ,N/A,"16,000,000₫",N/A,DAELIM,,DAELIM SIRIUS,,,,,https://product.hstatic.net/200000281285/product/daelim-sirius-trang_50c38e0b00da4f53a7feb57daa622b90_master.jpg,https://hoangcau.com/products/daelim-sirius,,N/A,hoangcau.com,active,2024-12-10 02:57:00.660335,N/A
2,,XE TAY GA,N/A,"23,000,000₫",N/A,DAELIM,,DAELIM CANELY,,,,,https://product.hstatic.net/200000281285/product/z6061502662355_dece3709f300f2b09d9087dc07faed23_f65c2f05e56d40688d9ae5bc2542226f_master.jpg,https://hoangcau.com/products/dealim-canely,,N/A,hoangcau.com,active,2024-12-10 02:57:00.660335,N/A
3,,XE ĐIỆN,N/A,"21,490,000₫",N/A,YADEA,,YADEA ODORA PRO,,,,,https://product.hstatic.net/200000281285/product/12_5fa51e596f974b74aea8d6dec0f9a203_master.png,https://hoangcau.com/products/yadea-odora-pro,,N/A,hoangcau.com,active,2024-12-10 02:57:00.660335,N/A
4,,XE ĐIỆN,N/A,"17,490,000₫",N/A,YADEA,,YADEA XMEN NEO,,,,,https://product.hstatic.net/200000281285/product/13_49bb009058e349ddbd34cdf59c343bfa_master.png,https://hoangcau.com/products/yadea-xmen-neo,,N/A,hoangcau.com,active,2024-12-10 02:57:00.660335,N/A
5,,XE ĐIỆN,N/A,"22,990,000₫",N/A,YADEA,,YADEA ORIS,,,,,https://product.hstatic.net/200000281285/product/12_b0da07eaad804df9a10c6c3fc7ca2819_master.png,https://hoangcau.com/products/yadea-oris,,N/A,hoangcau.com,active,2024-12-10 02:57:00.660335,N/A
6,,XE ĐIỆN,N/A,"21,990,000₫",N/A,YADEA,,YADEA OSSY,,,,,https://product.hstatic.net/200000281285/product/11_2187f5db140d4933bc4a41c1e31b5127_master.png,https://hoangcau.com/products/yadea-ossy,,N/A,hoangcau.com,active,2024-12-10 02:57:00.660335,N/A
7,,XE TAY GA,N/A,"23,000,000₫",N/A,DAELIM,,DAELIM VENUS,,,,,https://product.hstatic.net/200000281285/product/daelim-venus-xanhanhkim_a3e11ac486d6429c9c2d4f87796d45a5_master.jpg,https://hoangcau.com/products/venus,,N/A,hoangcau.com,active,2024-12-10 02:57:00.660335,N/A
8,,XE SỐ,N/A,"18,000,000₫",N/A,DAELIM,,DAELIM C6 PLUS,,,,,https://product.hstatic.net/200000281285/product/18_7ba20a7192ba44bab669e2c2bc27707c_master.png,https://hoangcau.com/products/daelim-c6-plus,,N/A,hoangcau.com,active,2024-12-10 02:57:00.660335,N/A
9,,XE TAY GA,Xám Nhám,"45,900,000₫",N/A,YAMAHA,,LEXI 155VVA,,,,,https://product.hstatic.net/200000281285/product/14_eafd795d76444c868a352541d4f5c4cb_master.png,https://hoangcau.com/products/lexi-155vva,,N/A,hoangcau.com,active,2024-12-10 02:57:00.660335,N/A
10,,XE ĐIỆN,N/A,"34,000,000₫",N/A,YAMAHA,,NEO'S,,,,,https://product.hstatic.net/200000281285/product/5_314c6810f2c44bfca604237533c79a5f_master.png,https://hoangcau.com/products/neo-s,,N/A,hoangcau.com,active,2024-12-10 02:57:00.660335,N/A
11,,XE SỐ,N/A,"77,000,000₫",N/A,YAMAHA,,XS155R,,,,,https://product.hstatic.net/200000281285/product/2_5b60169850884198a8661b80cfb87073_master.png,https://hoangcau.com/products/xs155r,,N/A,hoangcau.com,active,2024-12-10 02:57:00.660335,N/A
12,,XE SỐ,N/A,"29,000,000₫",N/A,YAMAHA,,PG - 1,,,,,https://product.hstatic.net/200000281285/product/z4935871590374_f4c0d9a015499040fcc21cc64bd64f5d_d8949fefbc094c0cbf6e71b10532b36a_master.jpg,https://hoangcau.com/products/pg-1,,N/A,hoangcau.com,active,2024-12-10 02:57:00.660335,N/A
13,,XE ĐIỆN,N/A,"15,490,000₫",N/A,YADEA,,YADEA I-CUTE,,,,,https://product.hstatic.net/200000281285/product/xanh_trang_230fce061afc4f41b6fee9c52f61f29c_master.jpg,https://hoangcau.com/products/yadea-i-cute,,N/A,hoangcau.com,active,2024-12-10 02:57:00.660335,N/A
14,,XE ĐIỆN,Đen,"13,490,000₫",N/A,YADEA,,YADEA I6,,,,,https://product.hstatic.net/200000281285/product/xanh_0ac4a7c685144e44b66cf096dc767c2c_master.jpg,https://hoangcau.com/products/yadea-i6,,N/A,hoangcau.com,active,2024-12-10 02:57:00.660335,N/A
15,,XE ĐIỆN,N/A,"13,990,000₫",N/A,YADEA,,YADEA I8,,,,,https://product.hstatic.net/200000281285/product/trang_19a57fa495ca426497acece2a0a70ee1_master.jpg,https://hoangcau.com/products/yadea-i8,,N/A,hoangcau.com,active,2024-12-10 02:57:00.660335,N/A
16,,XE ĐIỆN,N/A,"16,990,000₫",N/A,YADEA,,YADEA OCEAN,,,,,https://product.hstatic.net/200000281285/product/trang_nau_e5dff9dd2fb54b409c5b181b1716f15e_master.jpg,https://hoangcau.com/products/yadea-ocean,,N/A,hoangcau.com,active,2024-12-10 02:57:00.660335,N/A
17,,XE ĐIỆN,N/A,"19,990,000₫",N/A,YADEA,,YADEA ORLA,,,,,https://product.hstatic.net/200000281285/product/orla_b18e06460af34bb195555ac61731aead_master.png,https://hoangcau.com/products/yadea-orla,,N/A,hoangcau.com,active,2024-12-10 02:57:00.660335,N/A
18,,XE ĐIỆN,N/A,"22,990,000₫",N/A,YADEA,,YADEA S3 PRO,,,,,https://product.hstatic.net/200000281285/product/5_46a08df9dc5d4a97950cd499575505e9_master.png,https://hoangcau.com/products/yadea-s3-pro,,N/A,hoangcau.com,active,2024-12-10 02:57:00.660335,N/A
19,,XE ĐIỆN,Đen,"27,990,000₫",N/A,YADEA,,YADEA VOLTGUARD,,,,,https://product.hstatic.net/200000281285/product/xanh_e6ac84fdb1114d6e88f1a4d9b261c16b_master.png,https://hoangcau.com/products/yadea-voltguard,,N/A,hoangcau.com,active,2024-12-10 02:57:00.660335,N/A
20,,XE ĐIỆN,N/A,"12,990,000₫",N/A,YADEA,,YADEA IGO,,,,,https://product.hstatic.net/200000281285/product/yadea_igo_-_do_62122610ce384fbabc16f8737e80b9b2_master.jpg,https://hoangcau.com/products/yadea-igo,,N/A,hoangcau.com,active,2024-12-10 02:57:00.660335,N/A
21,,XE ĐIỆN,N/A,"17,990,000₫",N/A,YADEA,,YADEA VIGOR,,,,,https://product.hstatic.net/200000281285/product/do_8a495277c98d4feebdfc40ce1a84bd07_master.png,https://hoangcau.com/products/yadea-vigor,,N/A,hoangcau.com,active,2024-12-10 02:57:00.660335,N/A
22,,XE ĐIỆN,N/A,"13,990,000₫",N/A,YADEA,,YADEA X-BULL,,,,,https://product.hstatic.net/200000281285/product/13_fd643da5bd6147d6a761fe449374070e_master.png,https://hoangcau.com/products/yadea-x-bull,,N/A,hoangcau.com,active,2024-12-10 02:57:00.660335,N/A
23,,,,"18,490,000₫",,,,YADEA ODORA S,,,,,,https://hoangcau.com/products/yadea-odora-s1-thien-nang,,,hoangcau.com,active,2024-12-10 02:57:00.660335,
24,,XE ĐIỆN,N/A,"17,990,000₫",N/A,YADEA,,YADEA M6I TTFAR,,,,,https://product.hstatic.net/200000281285/product/yadea_m6i_ttfar_-_trang_caacd1f7955c4467bf48c2a1e98786d5_master.jpg,https://hoangcau.com/products/yadea-m6i-ttfar,,N/A,hoangcau.com,active,2024-12-10 02:57:00.660335,N/A
25,,XE TAY GA,Đen,"93,500,000₫",N/A,HONDA,,SH 160I,,,,,https://product.hstatic.net/200000281285/product/sh160i-xam-thethao_c73365128ad0464fb1279b72dd8b9ad0_master.jpg,https://hoangcau.com/products/sh-160i,,N/A,hoangcau.com,active,2024-12-10 02:57:00.660335,N/A
26,,XE SỐ,Xanh Xám,"27,900,000₫",N/A,YAMAHA,,JUPITER FINN,,,,,https://product.hstatic.net/200000281285/product/4_6cd9731962934c7f81a4ae1d377a5f77_master.png,https://hoangcau.com/products/jupiter-finn,,N/A,hoangcau.com,active,2024-12-10 02:57:00.660335,N/A
27,,XE TAY GA,Xanh Xám,"58,000,000₫",N/A,HONDA,,AIR BLADE 160,,,,,https://product.hstatic.net/200000281285/product/airblade-160---xanh-vang---dac-biet_3764fb6b5bf448ff924382cb3eb99407_master.jpg,https://hoangcau.com/products/air-blade-160,,N/A,hoangcau.com,active,2024-12-10 02:57:00.660335,N/A
28,,XE TAY GA,Đen Nhám,"47,000,000₫",N/A,NHẬP KHẨU,,HONDA VARIO 160,,,,,https://product.hstatic.net/200000281285/product/vario_160_abs_-_trang_nham__grande__62beb3b025ed4ffc87114c9c1aee2dc8_master.png,https://hoangcau.com/products/honda-vario-160,,N/A,hoangcau.com,active,2024-12-10 02:57:00.660335,N/A
29,,XE TAY GA,N/A,"22,000,000₫",N/A,SYM,,ELITE 50CC,,,,,https://product.hstatic.net/200000281285/product/db_xam_den_1394d821ac3e438398454cd1d6c244e9_master.png,https://hoangcau.com/products/elite-50cc,,N/A,hoangcau.com,active,2024-12-10 02:57:00.660335,N/A
