id,model_name,type,color,price,price_range,brand,version,name,engine_capacity,engine_type,transmission_type,features,image_url,source_url,source_pid,source_SkuId,source_name,status,create_at,source_id
1,,XE SỐ,N/A,"16,000,000₫",N/A,DAELIM,,DAELIM SIRIUS,,,,,https://product.hstatic.net/200000281285/product/daelim-sirius-trang_50c38e0b00da4f53a7feb57daa622b90_master.jpg,https://hoangcau.com/products/daelim-sirius,,N/A,hoangcau.com,active,2024-12-10 10:03:00.296156,N/A
2,,XE TAY GA,N/A,"23,000,000₫",N/A,DAELIM,,DAELIM CANELY,,,,,https://product.hstatic.net/200000281285/product/z6061502629115_fe0b2fa80145b67b85c79860d688fa68_2473afa8879c49bea9d27d6736bf41d9_master.jpg,https://hoangcau.com/products/dealim-canely,,N/A,hoangcau.com,active,2024-12-10 10:03:00.296156,N/A
3,,XE ĐIỆN,N/A,"21,490,000₫",N/A,YADEA,,YADEA ODORA PRO,,,,,https://product.hstatic.net/200000281285/product/12_5fa51e596f974b74aea8d6dec0f9a203_master.png,https://hoangcau.com/products/yadea-odora-pro,,N/A,hoangcau.com,active,2024-12-10 10:03:00.296156,N/A
4,,XE ĐIỆN,N/A,"17,490,000₫",N/A,YADEA,,YADEA XMEN NEO,,,,,https://product.hstatic.net/200000281285/product/13_49bb009058e349ddbd34cdf59c343bfa_master.png,https://hoangcau.com/products/yadea-xmen-neo,,N/A,hoangcau.com,active,2024-12-10 10:03:00.296156,N/A
5,,XE ĐIỆN,N/A,"22,990,000₫",N/A,YADEA,,YADEA ORIS,,,,,https://product.hstatic.net/200000281285/product/12_b0da07eaad804df9a10c6c3fc7ca2819_master.png,https://hoangcau.com/products/yadea-oris,,N/A,hoangcau.com,active,2024-12-10 10:03:00.296156,N/A
6,,XE ĐIỆN,N/A,"21,990,000₫",N/A,YADEA,,YADEA OSSY,,,,,https://product.hstatic.net/200000281285/product/12_2da2b6cfffc04f85b40ab2c77621df34_master.png,https://hoangcau.com/products/yadea-ossy,,N/A,hoangcau.com,active,2024-12-10 10:03:00.296156,N/A
7,,XE TAY GA,N/A,"23,000,000₫",N/A,DAELIM,,DAELIM VENUS,,,,,https://product.hstatic.net/200000281285/product/daelim-venus-denmo_91e490cd5d874fadb43773186fa203e3_master.jpg,https://hoangcau.com/products/venus,,N/A,hoangcau.com,active,2024-12-10 10:03:00.296156,N/A
8,,XE SỐ,N/A,"18,000,000₫",N/A,DAELIM,,DAELIM C6 PLUS,,,,,https://product.hstatic.net/200000281285/product/18_7ba20a7192ba44bab669e2c2bc27707c_master.png,https://hoangcau.com/products/daelim-c6-plus,,N/A,hoangcau.com,active,2024-12-10 10:03:00.296156,N/A
9,,XE TAY GA,Xám Nhám,"45,900,000₫",N/A,YAMAHA,,LEXI 155VVA,,,,,https://product.hstatic.net/200000281285/product/14_eafd795d76444c868a352541d4f5c4cb_master.png,https://hoangcau.com/products/lexi-155vva,,N/A,hoangcau.com,active,2024-12-10 10:03:00.296156,N/A
10,,XE ĐIỆN,N/A,"34,000,000₫",N/A,YAMAHA,,NEO'S,,,,,https://product.hstatic.net/200000281285/product/5_314c6810f2c44bfca604237533c79a5f_master.png,https://hoangcau.com/products/neo-s,,N/A,hoangcau.com,active,2024-12-10 10:03:00.296156,N/A
11,,XE SỐ,N/A,"77,000,000₫",N/A,YAMAHA,,XS155R,,,,,https://product.hstatic.net/200000281285/product/2_5b60169850884198a8661b80cfb87073_master.png,https://hoangcau.com/products/xs155r,,N/A,hoangcau.com,active,2024-12-10 10:03:00.296156,N/A
12,,XE SỐ,N/A,"29,000,000₫",N/A,YAMAHA,,PG - 1,,,,,https://product.hstatic.net/200000281285/product/z4935871590154_e77e2402002d07a4a893ac8dca5f6515_bd05c7bd090c48819d8db3864f1c85cc_master.jpg,https://hoangcau.com/products/pg-1,,N/A,hoangcau.com,active,2024-12-10 10:03:00.296156,N/A
13,,XE ĐIỆN,N/A,"15,490,000₫",N/A,YADEA,,YADEA I-CUTE,,,,,https://product.hstatic.net/200000281285/product/xam_f0171a52d48b442f9ae0728d536bdb25_master.jpg,https://hoangcau.com/products/yadea-i-cute,,N/A,hoangcau.com,active,2024-12-10 10:03:00.296156,N/A
14,,XE ĐIỆN,Đen,"13,490,000₫",N/A,YADEA,,YADEA I6,,,,,https://product.hstatic.net/200000281285/product/hong_d27e82446aa44101b130298e0ad85db8_master.jpg,https://hoangcau.com/products/yadea-i6,,N/A,hoangcau.com,active,2024-12-10 10:03:00.296156,N/A
15,,XE ĐIỆN,N/A,"13,990,000₫",N/A,YADEA,,YADEA I8,,,,,https://product.hstatic.net/200000281285/product/trang_19a57fa495ca426497acece2a0a70ee1_master.jpg,https://hoangcau.com/products/yadea-i8,,N/A,hoangcau.com,active,2024-12-10 10:03:00.296156,N/A
16,,XE ĐIỆN,N/A,"16,990,000₫",N/A,YADEA,,YADEA OCEAN,,,,,https://product.hstatic.net/200000281285/product/trang_nau_e5dff9dd2fb54b409c5b181b1716f15e_master.jpg,https://hoangcau.com/products/yadea-ocean,,N/A,hoangcau.com,active,2024-12-10 10:03:00.296156,N/A
17,,XE ĐIỆN,N/A,"19,990,000₫",N/A,YADEA,,YADEA ORLA,,,,,https://product.hstatic.net/200000281285/product/orla_b18e06460af34bb195555ac61731aead_master.png,https://hoangcau.com/products/yadea-orla,,N/A,hoangcau.com,active,2024-12-10 10:03:00.296156,N/A
18,,XE ĐIỆN,N/A,"22,990,000₫",N/A,YADEA,,YADEA S3 PRO,,,,,https://product.hstatic.net/200000281285/product/4_c0c9611fe5a64a389a3419c0064eeb99_master.png,https://hoangcau.com/products/yadea-s3-pro,,N/A,hoangcau.com,active,2024-12-10 10:03:00.296156,N/A
19,,XE ĐIỆN,Đen,"27,990,000₫",N/A,YADEA,,YADEA VOLTGUARD,,,,,https://product.hstatic.net/200000281285/product/xanh_e6ac84fdb1114d6e88f1a4d9b261c16b_master.png,https://hoangcau.com/products/yadea-voltguard,,N/A,hoangcau.com,active,2024-12-10 10:03:00.296156,N/A
