id,model_name,type,color,price,price_range,brand,version,name,engine_capacity,engine_type,transmission_type,features,image_url,source_url,source_pid,source_SkuId,source_name,status,create_at,source_id
1,,XE SỐ,N/A,"16,000,000₫",N/A,DAELIM,,DAELIM SIRIUS,,,,,https://product.hstatic.net/200000281285/product/daelim-sirius-trang_50c38e0b00da4f53a7feb57daa622b90_master.jpg,https://hoangcau.com/products/daelim-sirius,,N/A,hoangcau.com,active,2024-12-10 04:02:01.052817,N/A
2,,XE TAY GA,N/A,"23,000,000₫",N/A,DAELIM,,DAELIM CANELY,,,,,https://product.hstatic.net/200000281285/product/z6061502629115_fe0b2fa80145b67b85c79860d688fa68_2473afa8879c49bea9d27d6736bf41d9_master.jpg,https://hoangcau.com/products/dealim-canely,,N/A,hoangcau.com,active,2024-12-10 04:02:01.052817,N/A
3,,XE ĐIỆN,N/A,"21,490,000₫",N/A,YADEA,,YADEA ODORA PRO,,,,,https://product.hstatic.net/200000281285/product/11_8ff3c7977f19467c9fa7fb47e3a64daa_master.png,https://hoangcau.com/products/yadea-odora-pro,,N/A,hoangcau.com,active,2024-12-10 04:02:01.052817,N/A
4,,XE ĐIỆN,N/A,"17,490,000₫",N/A,YADEA,,YADEA XMEN NEO,,,,,https://product.hstatic.net/200000281285/product/13_49bb009058e349ddbd34cdf59c343bfa_master.png,https://hoangcau.com/products/yadea-xmen-neo,,N/A,hoangcau.com,active,2024-12-10 04:02:01.052817,N/A
5,,XE ĐIỆN,N/A,"22,990,000₫",N/A,YADEA,,YADEA ORIS,,,,,https://product.hstatic.net/200000281285/product/12_b0da07eaad804df9a10c6c3fc7ca2819_master.png,https://hoangcau.com/products/yadea-oris,,N/A,hoangcau.com,active,2024-12-10 04:02:01.052817,N/A
6,,XE ĐIỆN,N/A,"21,990,000₫",N/A,YADEA,,YADEA OSSY,,,,,https://product.hstatic.net/200000281285/product/11_2187f5db140d4933bc4a41c1e31b5127_master.png,https://hoangcau.com/products/yadea-ossy,,N/A,hoangcau.com,active,2024-12-10 04:02:01.052817,N/A
7,,XE TAY GA,N/A,"23,000,000₫",N/A,DAELIM,,DAELIM VENUS,,,,,https://product.hstatic.net/200000281285/product/daelim-venus-xanhanhkim_a3e11ac486d6429c9c2d4f87796d45a5_master.jpg,https://hoangcau.com/products/venus,,N/A,hoangcau.com,active,2024-12-10 04:02:01.052817,N/A
8,,XE SỐ,N/A,"18,000,000₫",N/A,DAELIM,,DAELIM C6 PLUS,,,,,https://product.hstatic.net/200000281285/product/18_7ba20a7192ba44bab669e2c2bc27707c_master.png,https://hoangcau.com/products/daelim-c6-plus,,N/A,hoangcau.com,active,2024-12-10 04:02:01.052817,N/A
9,,XE TAY GA,Xám Nhám,"45,900,000₫",N/A,YAMAHA,,LEXI 155VVA,,,,,https://product.hstatic.net/200000281285/product/14_eafd795d76444c868a352541d4f5c4cb_master.png,https://hoangcau.com/products/lexi-155vva,,N/A,hoangcau.com,active,2024-12-10 04:02:01.052817,N/A
10,,XE ĐIỆN,N/A,"34,000,000₫",N/A,YAMAHA,,NEO'S,,,,,https://product.hstatic.net/200000281285/product/5_314c6810f2c44bfca604237533c79a5f_master.png,https://hoangcau.com/products/neo-s,,N/A,hoangcau.com,active,2024-12-10 04:02:01.052817,N/A
11,,XE SỐ,N/A,"77,000,000₫",N/A,YAMAHA,,XS155R,,,,,https://product.hstatic.net/200000281285/product/2_5b60169850884198a8661b80cfb87073_master.png,https://hoangcau.com/products/xs155r,,N/A,hoangcau.com,active,2024-12-10 04:02:01.052817,N/A
12,,XE SỐ,N/A,"29,000,000₫",N/A,YAMAHA,,PG - 1,,,,,https://product.hstatic.net/200000281285/product/z4935871590374_f4c0d9a015499040fcc21cc64bd64f5d_d8949fefbc094c0cbf6e71b10532b36a_master.jpg,https://hoangcau.com/products/pg-1,,N/A,hoangcau.com,active,2024-12-10 04:02:01.052817,N/A
13,,XE ĐIỆN,N/A,"15,490,000₫",N/A,YADEA,,YADEA I-CUTE,,,,,https://product.hstatic.net/200000281285/product/xam_f0171a52d48b442f9ae0728d536bdb25_master.jpg,https://hoangcau.com/products/yadea-i-cute,,N/A,hoangcau.com,active,2024-12-10 04:02:01.052817,N/A
14,,XE ĐIỆN,Đen,"13,490,000₫",N/A,YADEA,,YADEA I6,,,,,https://product.hstatic.net/200000281285/product/trang_02043389e357472eab48cac40563795a_master.jpg,https://hoangcau.com/products/yadea-i6,,N/A,hoangcau.com,active,2024-12-10 04:02:01.052817,N/A
15,,XE ĐIỆN,N/A,"13,990,000₫",N/A,YADEA,,YADEA I8,,,,,https://product.hstatic.net/200000281285/product/trang_19a57fa495ca426497acece2a0a70ee1_master.jpg,https://hoangcau.com/products/yadea-i8,,N/A,hoangcau.com,active,2024-12-10 04:02:01.052817,N/A
16,,XE ĐIỆN,N/A,"16,990,000₫",N/A,YADEA,,YADEA OCEAN,,,,,https://product.hstatic.net/200000281285/product/xanh_mint_58e4f0c8bbe049a29cd8abe8163a8957_master.jpg,https://hoangcau.com/products/yadea-ocean,,N/A,hoangcau.com,active,2024-12-10 04:02:01.052817,N/A
17,,XE ĐIỆN,N/A,"19,990,000₫",N/A,YADEA,,YADEA ORLA,,,,,https://product.hstatic.net/200000281285/product/orla_b18e06460af34bb195555ac61731aead_master.png,https://hoangcau.com/products/yadea-orla,,N/A,hoangcau.com,active,2024-12-10 04:02:01.052817,N/A
18,,XE ĐIỆN,N/A,"22,990,000₫",N/A,YADEA,,YADEA S3 PRO,,,,,https://product.hstatic.net/200000281285/product/4_c0c9611fe5a64a389a3419c0064eeb99_master.png,https://hoangcau.com/products/yadea-s3-pro,,N/A,hoangcau.com,active,2024-12-10 04:02:01.052817,N/A
19,,XE ĐIỆN,Đen,"27,990,000₫",N/A,YADEA,,YADEA VOLTGUARD,,,,,https://product.hstatic.net/200000281285/product/xanh_e6ac84fdb1114d6e88f1a4d9b261c16b_master.png,https://hoangcau.com/products/yadea-voltguard,,N/A,hoangcau.com,active,2024-12-10 04:02:01.052817,N/A
20,,XE ĐIỆN,N/A,"12,990,000₫",N/A,YADEA,,YADEA IGO,,,,,https://product.hstatic.net/200000281285/product/yadea_igo_-_do_62122610ce384fbabc16f8737e80b9b2_master.jpg,https://hoangcau.com/products/yadea-igo,,N/A,hoangcau.com,active,2024-12-10 04:02:01.052817,N/A
21,,XE ĐIỆN,N/A,"17,990,000₫",N/A,YADEA,,YADEA VIGOR,,,,,https://product.hstatic.net/200000281285/product/do_8a495277c98d4feebdfc40ce1a84bd07_master.png,https://hoangcau.com/products/yadea-vigor,,N/A,hoangcau.com,active,2024-12-10 04:02:01.052817,N/A
22,,XE ĐIỆN,N/A,"13,990,000₫",N/A,YADEA,,YADEA X-BULL,,,,,https://product.hstatic.net/200000281285/product/13_fd643da5bd6147d6a761fe449374070e_master.png,https://hoangcau.com/products/yadea-x-bull,,N/A,hoangcau.com,active,2024-12-10 04:02:01.052817,N/A
23,,XE ĐIỆN,N/A,"18,490,000₫",N/A,YADEA,,YADEA ODORA S,,,,,https://product.hstatic.net/200000281285/product/12_685edd30d80c46e688cc6d2dc06be3be_master.png,https://hoangcau.com/products/yadea-odora-s1-thien-nang,,N/A,hoangcau.com,active,2024-12-10 04:02:01.052817,N/A
24,,XE ĐIỆN,N/A,"17,990,000₫",N/A,YADEA,,YADEA M6I TTFAR,,,,,https://product.hstatic.net/200000281285/product/yadea_m6i_ttfar_-_xanh_caf369da39944e2aba6c839588d9d7f8_master.jpg,https://hoangcau.com/products/yadea-m6i-ttfar,,N/A,hoangcau.com,active,2024-12-10 04:02:01.052817,N/A
25,,XE TAY GA,Đen,"93,500,000₫",N/A,HONDA,,SH 160I,,,,,https://product.hstatic.net/200000281285/product/sh160i-xam-thethao_c73365128ad0464fb1279b72dd8b9ad0_master.jpg,https://hoangcau.com/products/sh-160i,,N/A,hoangcau.com,active,2024-12-10 04:02:01.052817,N/A
26,,,,"27,900,000₫",,,,JUPITER FINN,,,,,,https://hoangcau.com/products/jupiter-finn,,,hoangcau.com,active,2024-12-10 04:02:01.052817,
27,,XE TAY GA,Xanh Xám,"58,000,000₫",N/A,HONDA,,AIR BLADE 160,,,,,https://product.hstatic.net/200000281285/product/airblade-160---xanh-vang---dac-biet_3764fb6b5bf448ff924382cb3eb99407_master.jpg,https://hoangcau.com/products/air-blade-160,,N/A,hoangcau.com,active,2024-12-10 04:02:01.052817,N/A
28,,,,"47,000,000₫",,,,HONDA VARIO 160,,,,,,https://hoangcau.com/products/honda-vario-160,,,hoangcau.com,active,2024-12-10 04:02:01.052817,
29,,XE TAY GA,N/A,"22,000,000₫",N/A,SYM,,ELITE 50CC,,,,,https://product.hstatic.net/200000281285/product/db_xam_den_1394d821ac3e438398454cd1d6c244e9_master.png,https://hoangcau.com/products/elite-50cc,,N/A,hoangcau.com,active,2024-12-10 04:02:01.052817,N/A
30,,XE TAY GA,N/A,"25,500,000₫",N/A,KYMCO,,CANDY HI 50CC,,,,,https://product.hstatic.net/200000281285/product/trang_96e6beb56ba24c26b401102b0e510ce1_master.png,https://hoangcau.com/products/candy-hi-50cc,,N/A,hoangcau.com,active,2024-12-10 04:02:01.052817,N/A
31,,XE TAY GA,N/A,"27,000,000₫",N/A,KYMCO,,CANDY HERMOSA 50CC,,,,,https://product.hstatic.net/200000281285/product/do_nham_ca2c264063c44fcda70f8b111db00c08_master.png,https://hoangcau.com/products/candy-hermosa-50cc,,N/A,hoangcau.com,active,2024-12-10 04:02:01.052817,N/A
